qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns
0,tag,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain7,/domain7/data/doc/pol_000369,/domain7=0.7205;/domain4=0.6332;/domain5=0.6332,0,0,0.633186,20200.0000,20208.1734,20208.1734,20214.8361,14.8361,-1,2,-1,8,1,4789,1293,42,1107,0,0,1,1,0,DOMAIN_WRONG,none,,redundant,8.1734,6.6627,20200000000,20208173384,20208173384,20214836120
1,tag,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain6,/domain6/data/doc/traf_000020,/domain6=0.7031;/domain4=0.5571;/domain2=0.4563;/domain3=0.4252,0,1,0.456347,20400.0000,20408.1150,20408.1150,20415.7298,15.7298,-1,2,-1,8,1,4792,1304,43,1108,0,0,1,1,0,DOC_WRONG,none,,redundant,8.1150,7.6148,20400000000,20408115024,20408115024,20415729792
2,tag,List streetlight data around Westside Heights Riverside Park,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain4,/domain4/data/doc/sl_000552,/domain4=0.6445;/domain5=0.6384;/domain6=0.6186,0,0,0.638397,20600.0000,20608.1881,20608.1881,20614.5328,14.5328,-1,2,-1,8,1,4792,1288,41,1106,0,0,1,1,0,DOMAIN_WRONG,none,,redundant,8.1881,6.3447,20600000000,20608188096,20608188096,20614532800
3,tag,Query parking records from South Hills Residential Block,3,p_000062;p_000122;p_000236;p_000338;p_000386;p_000404;p_000464;p_000554;p_000560,/domain4,/domain4/data/doc/p_000536,/domain4=0.4687;/domain5=0.4560,0,0,0.455976,20800.0000,20808.1881,20808.1881,20814.5328,14.5328,-1,2,-1,8,1,4792,1280,40,1105,0,0,1,1,0,DOMAIN_WRONG,none,,redundant,8.1881,6.3447,20800000000,20808188080,20808188080,20814532752
4,tag,Give me streetlight information near Westside Heights University Campus,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain5,/domain5/data/doc/sl_000279,/domain5=0.6381;/domain6=0.5999;/domain4=0.5898,0,0,0.638108,21000.0000,21008.1881,21008.1881,21016.3628,16.3628,-1,2,-1,8,1,4792,1288,41,1106,0,0,1,1,0,DOMAIN_WRONG,none,,redundant,8.1881,8.1747,21000000000,21008188096,21008188096,21016362800
5,tag,Give me traffic information near Old Town Core Cultural Center,6,traf_000118;traf_000160;traf_000172;traf_000292;traf_000340;traf_000406;traf_000412;traf_000430;traf_000490;traf_000562,/domain6,/domain6/data/doc/traf_000375,/domain6=0.7670;/domain4=0.6567;/domain3=0.6124;/domain2=0.5779,0,1,0.577917,21200.0000,21208.1150,21208.1150,21215.7298,15.7298,-1,2,-1,8,1,4792,1304,43,1108,0,0,1,1,0,DOC_WRONG,none,,redundant,8.1150,7.6148,21200000000,21208115024,21208115024,21215729792
6,tag,What traffic readings are reported in Greenfield Park?,7,traf_000277;traf_000286,/domain7,/domain7/data/doc/traf_000548,/domain7=0.7499;/domain4=0.5967;/domain5=0.5795,0,1,0.579475,21400.0000,21408.1783,21408.1783,21414.8411,14.8411,-1,2,-1,8,1,4792,1304,43,1108,0,0,1,1,0,DOC_WRONG,none,,redundant,8.1783,6.6628,21400000000,21408178336,21408178336,21414841104
7,tag,Give me parking information near North Harbor Main Station,0,p_000009;p_000025;p_000033;p_000085;p_000105;p_000113;p_000129;p_000161;p_000165;p_000193;p_000237;p_000261;p_000329;p_000349;p_000429;p_000437;p_000461,/domain0,/domain0/data/doc/p_000420,/domain0=0.7914;/domain4=0.6831;/domain7=0.6616;/domain5=0.6279,0,1,0.627905,21600.0000,21608.1881,21608.1881,21615.9388,15.9388,-1,2,-1,8,1,4792,1280,40,1105,0,0,1,1,0,DOC_WRONG,none,,redundant,8.1881,7.7507,21600000000,21608188080,21608188080,21615938752
8,tag,List traffic data around South Hills Waterfront Promenade,3,traf_000026;traf_000116;traf_000156;traf_000206;traf_000346;traf_000361;traf_000471;traf_000586,/domain3,/domain3/data/doc/traf_000198,/domain3=0.6328;/domain4=0.6125;/domain2=0.6011;/domain5=0.5682;/domain0=0.5593,0,1,0.568159,21800.0000,21808.1832,21808.1832,21814.7080,14.7080,-1,2,-1,8,1,4792,1304,43,1108,0,0,1,1,0,DOC_WRONG,none,,redundant,8.1832,6.5248,21800000000,21808183232,21808183232,21814708000
9,tag,Give me streetlight information near Old Town Core City Hall,6,sl_000092,/domain6,/domain6/data/doc/sl_000092,/domain6=0.8583;/domain5=0.7151;/domain4=0.6538,1,1,0.715090,22000.0000,22008.1881,22008.1881,22015.8028,15.8028,-1,2,-1,8,1,4792,1288,41,1106,0,0,1,1,0,,none,,redundant,8.1881,7.6147,22000000000,22008188096,22008188096,22015802800
10,tag,Search for parking devices in Old Town Core Civic Center,6,p_000003;p_000051;p_000087;p_000159;p_000231;p_000351;p_000357;p_000441;p_000501;p_000531;p_000585,/domain6,/domain6/data/doc/p_000584,/domain6=0.7629;/domain4=0.6568;/domain2=0.6393;/domain3=0.6125;/domain5=0.5306,0,1,0.530602,22200.0000,22208.1881,22208.1881,22215.8028,15.8028,-1,2,-1,8,1,4800,1288,40,1105,0,0,1,1,0,DOC_WRONG,none,,redundant,8.1881,7.6147,22200000000,22208188144,22208188144,22215802816
11,tag,Query pollution records from Lakeside District Downtown,5,pol_000135;pol_000213;pol_000225;pol_000231;pol_000243;pol_000249;pol_000291;pol_000297;pol_000315;pol_000339;pol_000393;pol_000441;pol_000453;pol_000531;pol_000537,/domain5,/domain5/data/doc/pol_000302,/domain5=0.7520;/domain2=0.5288;/domain4=0.5281,0,1,0.752024,22400.0000,22408.1686,22408.1686,22416.3433,16.3433,-1,2,-1,8,1,4800,1304,42,1107,0,0,1,1,0,DOC_WRONG,none,,redundant,8.1686,8.1747,22400000000,22408168560,22408168560,22416343296
12,tag,Locate every pollution unit across Greenfield Park,7,pol_000093;pol_000125;pol_000133;pol_000149;pol_000153;pol_000169;pol_000229;pol_000253;pol_000273;pol_000285;pol_000309;pol_000313;pol_000345;pol_000369;pol_000405;pol_000473;pol_000509;pol_000513;pol_000589,/domain7,/domain7/data/doc/pol_000316,/domain7=0.7498;/domain4=0.6785;/domain2=0.6044;/domain5=0.5906,0,1,0.590585,22600.0000,22608.1930,22608.1930,22614.8557,14.8557,-1,2,-1,8,1,4793,1297,42,1107,0,0,1,1,0,DOC_WRONG,none,,redundant,8.1930,6.6627,22600000000,22608193008,22608193008,22614855744
13,tag,Give me streetlight information near North Harbor Cultural Center,0,sl_000113;sl_000121;sl_000129;sl_000137;sl_000181;sl_000185;sl_000229;sl_000261;sl_000281;sl_000289;sl_000301;sl_000425;sl_000465;sl_000517;sl_000553;sl_000565;sl_000569;sl_000581,/domain6,/domain6/data/doc/sl_000124,/domain6=0.6457;/domain4=0.6295;/domain5=0.5917,0,0,0.591700,22800.0000,22808.1882,22808.1882,22815.8029,15.8029,-1,2,-1,8,1,4800,1296,41,1106,0,0,1,1,0,DOMAIN_WRONG,none,,redundant,8.1882,7.6147,22800000000,22808188160,22808188160,22815802864
14,tag,What streetlight readings are reported in Midtown Center?,4,sl_000014;sl_000022;sl_000058;sl_000066;sl_000086;sl_000146;sl_000226;sl_000250;sl_000298;sl_000306;sl_000378;sl_000402;sl_000598,/domain4,/domain4/data/doc/sl_000351,/domain4=0.6934;/domain6=0.6631;/domain5=0.5315,0,1,0.531499,23000.0000,23008.1882,23008.1882,23014.5329,14.5329,-1,2,-1,8,1,4800,1296,41,1106,0,0,1,1,0,DOC_WRONG,none,,redundant,8.1882,6.3447,23000000000,23008188160,23008188160,23014532864
15,tag,Find all pollution sensors in Lakeside District,5,pol_000138;pol_000150;pol_000168;pol_000180;pol_000204;pol_000234;pol_000240;pol_000246;pol_000264;pol_000306;pol_000336;pol_000384;pol_000438;pol_000492;pol_000510;pol_000558;pol_000576,/domain5,/domain5/data/doc/pol_000353,/domain5=0.8434;/domain6=0.6443;/domain2=0.6264;/domain4=0.5981,0,1,0.843393,23200.0000,23208.1931,23208.1931,23216.3678,16.3678,-1,2,-1,8,1,4800,1304,42,1107,0,0,1,1,0,DOC_WRONG,none,,redundant,8.1931,8.1747,23200000000,23208193080,23208193080,23216367816
16,tag,What parking readings are reported in Westside Heights?,1,p_000244;p_000272;p_000376,/domain5,/domain5/data/doc/p_900018,/domain5=0.6044;/domain4=0.6007,0,0,0.604385,23400.0000,23408.1881,23408.1881,23416.3628,16.3628,-1,2,-1,8,1,4800,1288,40,1105,0,0,1,1,0,DOMAIN_WRONG,none,,redundant,8.1881,8.1747,23400000000,23408188144,23408188144,23416362816
17,tag,Query traffic records from South Hills Commercial Strip,3,traf_000022;traf_000109;traf_000130;traf_000190;traf_000295;traf_000319;traf_000346;traf_000361;traf_000373;traf_000400;traf_000433;traf_000469;traf_000493;traf_000514;traf_000532;traf_000544;traf_000580;traf_000586;traf_000592,/domain3,/domain3/data/doc/traf_000198,/domain3=0.6037;/domain4=0.5879;/domain2=0.5215;/domain0=0.5135;/domain5=0.4484,0,1,0.448361,23600.0000,23608.1833,23608.1833,23608.1833,8.1833,-1,2,-1,8,1,4800,1312,43,1108,0,0,1,1,0,DOC_WRONG,none,,redundant,8.1833,0.0000,23600000000,23608183288,23608183288,23608183288
18,tag,What streetlight readings are reported in Lakeside District?,5,sl_000582,/domain5,/domain5/data/doc/sl_000279,/domain5=0.7112;/domain2=0.5282;/domain4=0.5076,0,1,0.711237,23800.0000,23808.1734,23808.1734,23816.3482,16.3482,-1,2,-1,8,1,4800,1296,41,1106,0,0,1,1,0,DOC_WRONG,none,,redundant,8.1734,8.1747,23800000000,23808173448,23808173448,23816348152
19,tag,Locate every pollution unit across Greenfield Park,7,pol_000059;pol_000125;pol_000149;pol_000239;pol_000431;pol_000473;pol_000509,/domain7,/domain7/data/doc/pol_000316,/domain7=0.7498;/domain4=0.6785;/domain2=0.6044;/domain5=0.5906,0,1,0.590585,24000.0000,24008.1930,24008.1930,24008.1930,8.1930,-1,2,-1,8,1,4793,1297,42,1107,0,0,1,1,0,DOC_WRONG,none,,redundant,8.1930,0.0000,24000000000,24008193008,24008193008,24008193008
20,tag,Find all parking sensors in Westside Heights,1,p_000302;p_000538,/domain2,/domain2/data/doc/p_000326,/domain2=0.5892;/domain4=0.5890;/domain6=0.5861;/domain3=0.5828;/domain5=0.5541,0,0,0.554121,24200.0000,24208.1930,24208.1930,24216.2897,16.2897,-1,2,-1,8,1,4800,1296,40,1105,0,0,1,1,0,DOMAIN_WRONG,none,,redundant,8.1930,8.0967,24200000000,24208193048,24208193048,24216289720
21,tag,Search for streetlight devices in North Harbor Commercial Strip,0,sl_000010;sl_000098;sl_000126;sl_000182;sl_000246;sl_000278;sl_000322;sl_000362;sl_000386;sl_000418;sl_000426;sl_000434;sl_000482;sl_000534;sl_000558;sl_000594,/domain5,/domain5/data/doc/sl_000381,/domain5=0.6667;/domain6=0.6589;/domain4=0.5826,0,0,0.666729,24400.0000,24408.1882,24408.1882,24416.3629,16.3629,-1,2,-1,8,1,4800,1296,41,1106,0,0,1,1,0,DOMAIN_WRONG,none,,redundant,8.1882,8.1747,24400000000,24408188160,24408188160,24416362864
