qid,scheme,query_text,gt_domain,gt_doc,pred_domain,pred_doc,topk_domains,hit_exact,domain_hit,ssr_score,t_send_disc,t_recv_disc_reply,t_send_fetch,t_recv_data,rtt_total_ms,hops_disc,hops_fetch,hops_total,n_interest_sent,n_data_recv,bytes_ctrl_tx,bytes_ctrl_rx,bytes_data_tx,bytes_data_rx,timeouts,retransmissions,is_measurable,is_success,is_timeout,timeout_reason,failure_scenario,failure_target,topology,disc_ms,fetch_ms,t_send_disc_ns,t_recv_disc_reply_ns,t_send_fetch_ns,t_recv_data_ns
0,iroute,Search for pollution devices in Westside Heights Transit Hub,1,pol_000279;pol_000303;pol_000585,/domain1,/domain1/data/doc/pol_000142,/domain1=2.90599(0.74122);/domain0=2.33672(0.631977);/domain7=2.3017(0.625752);/domain2=2.05517(0.653157);/domain6=2.0483(0.590227),0,1,0.839392,20200.0000,20207.2307,20208.1055,20215.3423,15.3423,-1,2,-1,5,1,3015,170,44,1107,0,0,1,1,0,,none,,redundant,7.2307,7.2368,20200000000,20207230720,20208105504,20215342272
1,iroute,Query traffic records from Old Town Core Civic Center,6,traf_000059;traf_000159;traf_000169;traf_000174;traf_000199;traf_000209;traf_000224;traf_000314;traf_000464;traf_000474;traf_000489;traf_000559;traf_000584;traf_000599,/domain6,/domain6/data/doc/traf_000020,/domain6=2.58217(0.713879);/domain4=1.41266(0.481744);/domain7=1.39336(0.418719);/domain0=1.34173(0.425269);/domain1=1.17717(0.357503),0,1,0.703099,20400.0000,20407.6087,20407.7595,20415.3743,15.3743,-1,2,-1,5,1,3015,171,45,1108,0,0,1,1,0,,none,,redundant,7.6087,7.6148,20400000000,20407608736,20407759520,20415374320
2,iroute,List streetlight data around Westside Heights Riverside Park,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain2,/domain2/data/doc/sl_000131,/domain1=2.5723(0.670082);/domain7=1.89617(0.522615);/domain2=1.76306(0.575576);/domain6=1.73409(0.502873);/domain5=1.70271(0.479359),0,0,0.668949,20600.0000,20608.1006,20608.1884,20616.2852,16.2852,-1,2,-1,5,1,3015,169,43,1106,0,0,1,1,0,,none,,redundant,8.1006,8.0967,20600000000,20608100560,20608188416,20616285152
3,iroute,Query parking records from South Hills Residential Block,3,p_000062;p_000122;p_000236;p_000338;p_000386;p_000404;p_000464;p_000554;p_000560,/domain3,/domain3/data/doc/p_000424,/domain3=1.95728(0.624971);/domain1=1.81067(0.501756);/domain6=1.65555(0.490517);/domain7=1.6263(0.470234);/domain4=1.26034(0.449982),0,1,0.635494,20800.0000,20806.5187,20807.6185,20814.1432,14.1432,-1,2,-1,5,1,3015,168,42,1105,0,0,1,1,0,,none,,redundant,6.5187,6.5247,20800000000,20806518688,20807618544,20814143248
4,iroute,Give me streetlight information near Westside Heights University Campus,1,sl_000101;sl_000109;sl_000213;sl_000269;sl_000293;sl_000333;sl_000429;sl_000461;sl_000501;sl_000549,/domain1,/domain1/data/doc/sl_000501,/domain1=2.71631(0.70149);/domain7=1.8753(0.518064);/domain3=1.72863(0.566817);/domain5=1.62839(0.463184);/domain2=1.55983(0.523887),1,1,0.748806,21000.0000,21007.2307,21008.1835,21015.4202,15.4202,-1,2,-1,5,1,3015,169,43,1106,0,0,1,1,0,,none,,redundant,7.2307,7.2367,21000000000,21007230704,21008183488,21015420224
5,iroute,Give me traffic information near Old Town Core Cultural Center,6,traf_000118;traf_000160;traf_000172;traf_000292;traf_000340;traf_000406;traf_000412;traf_000430;traf_000490;traf_000562,/domain6,/domain6/data/doc/traf_000375,/domain6=2.79388(0.762916);/domain1=2.08993(0.552065);/domain0=2.06874(0.593143);/domain4=2.0649(0.646024);/domain7=1.99941(0.552747),0,1,0.766963,21200.0000,21207.6087,21207.7546,21215.3694,15.3694,-1,2,-1,5,1,3015,171,45,1108,0,0,1,1,0,,none,,redundant,7.6087,7.6148,21200000000,21207608736,21207754592,21215369392
6,iroute,What traffic readings are reported in Greenfield Park?,7,traf_000277;traf_000286,/domain7,/domain7/data/doc/traf_000548,/domain7=3.08211(0.792189);/domain1=2.57761(0.656018);/domain0=2.33456(0.654522);/domain3=2.28096(0.682019);/domain6=2.26072(0.639427),0,1,0.749900,21400.0000,21406.6567,21407.7546,21414.4174,14.4174,-1,2,-1,5,1,3015,171,45,1108,0,0,1,1,0,,none,,redundant,6.6567,6.6628,21400000000,21406656736,21407754592,21414417392
7,iroute,Give me parking information near North Harbor Main Station,0,p_000009;p_000025;p_000033;p_000085;p_000105;p_000113;p_000129;p_000161;p_000165;p_000193;p_000237;p_000261;p_000329;p_000349;p_000429;p_000437;p_000461,/domain0,/domain0/data/doc/p_000420,/domain0=3.17745(0.857123);/domain1=2.47704(0.646455);/domain6=2.44842(0.670942);/domain7=2.42359(0.634849);/domain2=2.22159(0.692196),0,1,0.791370,21600.0000,21607.7447,21608.1104,21615.8611,15.8611,-1,2,-1,5,1,3015,168,42,1105,0,0,1,1,0,,none,,redundant,7.7447,7.7507,21600000000,21607744688,21608110400,21615861104
8,iroute,List traffic data around South Hills Waterfront Promenade,3,traf_000026;traf_000116;traf_000156;traf_000206;traf_000346;traf_000361;traf_000471;traf_000586,/domain3,/domain3/data/doc/traf_000198,/domain1=2.19981(0.575488);/domain3=2.15913(0.652142);/domain6=1.96826(0.571689);/domain5=1.93024(0.519045);/domain0=1.90002(0.554184),0,1,0.632751,21800.0000,21806.5237,21808.1835,21814.7083,14.7083,-1,2,-1,5,1,3015,171,45,1108,0,0,1,1,0,,none,,redundant,6.5237,6.5248,21800000000,21806523664,21808183520,21814708320
9,iroute,Give me streetlight information near Old Town Core City Hall,6,sl_000092,/domain6,/domain6/data/doc/sl_000092,/domain6=2.92989(0.772036);/domain1=2.42371(0.637673);/domain7=2.37391(0.626812);/domain0=2.15649(0.613404);/domain2=2.01121(0.638689),1,1,0.858270,22000.0000,22007.6087,22008.1104,22015.7252,15.7252,-1,2,-1,5,1,3015,169,43,1106,0,0,1,1,0,,none,,redundant,7.6087,7.6147,22000000000,22007608704,22008110416,22015725152
10,iroute,Search for parking devices in Old Town Core Civic Center,6,p_000003;p_000051;p_000087;p_000159;p_000231;p_000351;p_000357;p_000441;p_000501;p_000531;p_000585,/domain6,/domain6/data/doc/p_000584,/domain6=2.95068(0.785237);/domain7=2.28991(0.605821);/domain0=2.09817(0.605568);/domain1=1.97891(0.538289);/domain4=1.87713(0.607648),0,1,0.762917,22200.0000,22207.6087,22207.7545,22215.3692,15.3692,-1,2,-1,5,1,3015,168,42,1105,0,0,1,1,0,,none,,redundant,7.6087,7.6147,22200000000,22207608688,22207754544,22215369248
11,iroute,Query pollution records from Lakeside District Downtown,5,pol_000135;pol_000213;pol_000225;pol_000231;pol_000243;pol_000249;pol_000291;pol_000297;pol_000315;pol_000339;pol_000393;pol_000441;pol_000453;pol_000531;pol_000537,/domain5,/domain5/data/doc/pol_000302,/domain5=2.96838(0.753149);/domain1=1.6242(0.462273);/domain7=1.55912(0.455376);/domain0=1.47028(0.438948);/domain6=1.37474(0.43422),0,1,0.752024,22400.0000,22408.1687,22408.1687,22416.3435,16.3435,-1,2,-1,5,1,3015,170,44,1107,0,0,1,1,0,,none,,redundant,8.1687,8.1748,22400000000,22408168720,22408168720,22416343488
12,iroute,Locate every pollution unit across Greenfield Park,7,pol_000093;pol_000125;pol_000133;pol_000149;pol_000153;pol_000169;pol_000229;pol_000253;pol_000273;pol_000285;pol_000309;pol_000313;pol_000345;pol_000369;pol_000405;pol_000473;pol_000509;pol_000513;pol_000589,/domain7,/domain7/data/doc/pol_000316,/domain7=3.00454(0.782729);/domain1=2.69119(0.694473);/domain0=2.22263(0.60656);/domain6=2.21669(0.653226);/domain5=2.1461(0.574593),0,1,0.749765,22600.0000,22606.6567,22608.1884,22614.8512,14.8512,-1,2,-1,5,1,3015,170,44,1107,0,0,1,1,0,,none,,redundant,6.6567,6.6628,22600000000,22606656720,22608188432,22614851200
13,iroute,Give me streetlight information near North Harbor Cultural Center,0,sl_000113;sl_000121;sl_000129;sl_000137;sl_000181;sl_000185;sl_000229;sl_000261;sl_000281;sl_000289;sl_000301;sl_000425;sl_000465;sl_000517;sl_000553;sl_000565;sl_000569;sl_000581,/domain0,/domain0/data/doc/sl_000499,/domain0=2.64182(0.725471);/domain1=2.28766(0.608);/domain6=1.95257(0.552052);/domain4=1.89992(0.610382);/domain7=1.88325(0.519796),0,1,0.761225,22800.0000,22807.7447,22807.7447,22815.4954,15.4954,-1,2,-1,5,1,3015,169,43,1106,0,0,1,1,0,,none,,redundant,7.7447,7.7507,22800000000,22807744704,22807744704,22815495440
14,iroute,What streetlight readings are reported in Midtown Center?,4,sl_000014;sl_000022;sl_000058;sl_000066;sl_000086;sl_000146;sl_000226;sl_000250;sl_000298;sl_000306;sl_000378;sl_000402;sl_000598,/domain4,/domain4/data/doc/sl_000351,/domain4=2.14573(0.672901);/domain1=1.96955(0.538619);/domain6=1.90698(0.541788);/domain0=1.73848(0.516882);/domain7=1.53492(0.443824),0,1,0.693403,23000.0000,23006.3387,23007.7595,23014.1042,14.1042,-1,2,-1,5,1,3015,169,43,1106,0,0,1,1,0,,none,,redundant,6.3387,6.3447,23000000000,23006338704,23007759488,23014104224
15,iroute,Find all pollution sensors in Lakeside District,5,pol_000138;pol_000150;pol_000168;pol_000180;pol_000204;pol_000234;pol_000240;pol_000246;pol_000264;pol_000306;pol_000336;pol_000384;pol_000438;pol_000492;pol_000510;pol_000558;pol_000576,/domain5,/domain5/data/doc/pol_000353,/domain5=3.47418(0.862982);/domain1=2.20379(0.588404);/domain0=2.09871(0.578953);/domain7=1.91444(0.539257);/domain2=1.78499(0.584095),0,1,0.843393,23200.0000,23208.1687,23208.1687,23216.3435,16.3435,-1,2,-1,5,1,3015,170,44,1107,0,0,1,1,0,,none,,redundant,8.1687,8.1748,23200000000,23208168720,23208168720,23216343488
16,iroute,What parking readings are reported in Westside Heights?,1,p_000244;p_000272;p_000376,/domain1,/domain1/data/doc/p_000440,/domain1=2.76662(0.709339);/domain7=1.99537(0.551854);/domain3=1.9733(0.629046);/domain0=1.84369(0.546256);/domain6=1.78227(0.519352),0,1,0.751275,23400.0000,23407.2307,23407.7595,23414.9962,14.9962,-1,2,-1,5,1,3015,168,42,1105,0,0,1,1,0,,none,,redundant,7.2307,7.2367,23400000000,23407230688,23407759472,23414996176
17,iroute,Query traffic records from South Hills Commercial Strip,3,traf_000022;traf_000109;traf_000130;traf_000190;traf_000295;traf_000319;traf_000346;traf_000361;traf_000373;traf_000400;traf_000433;traf_000469;traf_000493;traf_000514;traf_000532;traf_000544;traf_000580;traf_000586;traf_000592,/domain1,/domain1/data/doc/traf_000121,/domain3=2.02786(0.619948);/domain1=1.99742(0.532345);/domain6=1.71251(0.512454);/domain7=1.56025(0.455628);/domain4=1.55642(0.517953),0,0,0.637505,23600.0000,23607.2357,23607.6186,23614.8554,14.8554,-1,2,-1,5,1,3015,171,45,1108,0,0,1,1,0,,none,,redundant,7.2357,7.2368,23600000000,23607235664,23607618592,23614855392
18,iroute,What streetlight readings are reported in Lakeside District?,5,sl_000582,/domain5,/domain5/data/doc/sl_000279,/domain5=2.9084(0.741742);/domain1=1.97751(0.540354);/domain0=1.69977(0.507944);/domain3=1.52181(0.514216);/domain6=1.42035(0.432253),0,1,0.711237,23800.0000,23808.1687,23808.1687,23816.3434,16.3434,-1,2,-1,5,1,3015,169,43,1106,0,0,1,1,0,,none,,redundant,8.1687,8.1747,23800000000,23808168704,23808168704,23816343440
